simple_surname,full_name
"Lanier", "Lanier, Nicholas"
"Lanner", "Lanner, Joseph"
"Lantins", "Lantins, Arnold de"
"Laparra", "Laparra, Raoul"
"Larsson", "Larsson, Lars-Erik"
"Lassus", "Lassus, Orlande de"
"LawesH", "Lawes, Henry"
"LawesW", "Lawes, William"
"LeBeau", "Le Beau, Luise Adolpha"
"Lebrun", "Lebrun, Ludwig August"
"Leclair", "Leclair, Jean-Marie"
"Leclair", "Leclair, Jean-Marie"
"Lecocq", "Lecocq, Charles"
"Leeland", "Leeland"
"Lees", "Lees, Benjamin"
"LeFleming", "Le Fleming, Christopher"
"Legrenzi", "Legrenzi, Giovanni"
"Lehar", "Lehár, Franz"
"Leighton", "Leighton, Kenneth"
"Lekeu", "Lekeu, Guillaume"
"Lekeu", "Lekeu, Guillaume"
"Lemmens", "Lemmens, Jacques-Nicolas"
"Lentz", "Lentz, Daniel"
"Leoncavallo", "Leoncavallo, Ruggero"
"Leoncavallo", "Leoncavallo, Ruggero"
"Leoninus", "Léonin"
"Leroux", "Leroux, Xavier"
"Lesueur", "Lesueur, Jean-François"
"Leuto", "Leuto, Archangelo"
"Liadov", "Liadov, Anatoly"
"Liadov", "Liadov, Anatoly"
"Liapunov", "Lyapunov, Sergei"
"Liebermann", "Liebermann, Lowell"
"Ligeti", "Ligeti, György"
"Lilburn", "Lilburn, Douglas"
"Lindblad", "Lindblad, Adolf Fredrik"
"Lindpaintner", "Lindpaintner, Peter Josef von"
"Linley", "Linley, Thomas the younger"
"Liszt", "Liszt, Franz"
"Liszt", "Liszt, Franz"
"Litolff", "Litolff, Henry Charles"
"Litolff", "Litolff, Henry Charles"
"Lloyd", "Lloyd, George"
"LloydWebber", "Lloyd Webber, William"
"Locatelli", "Locatelli, Pietro"
"Locatelli", "Locatelli, Pietro"
"Locke", "Locke, Matthew"
"Loder", "Loder, Edward"
"Loeffler", "Loeffler, Charles Martin"
"Loeillet", "Loeillet, Jean-Baptiste"
"Loewe", "Loewe, Carl"
"Lortzing", "Lortzing, Albert"
"Lotti", "Lotti, Antonio"
"LouisFerdinand", "Louis Ferdinand of Prussia"
"Lowry", "Lowry, Robert"
"Lully", "Lully, Jean-Baptiste"
"Lully", "Lully, Jean-Baptiste"
"Lumbye", "Lumbye, Hans Christian"
"Lundsten", "Lundsten, Ralph"
"Luther", "Luther, Martin"
"Lutoslawski", "Lutosławski, Witold"
"Lutyens", "Lutyens, Elisabeth"
"Luzzi", "Luzzi, Luigi"
"Lyapunov", "Lyapunov, Sergei"
"Lyte", "Lyte, Henry Francis"
"MacCunn", "MacCunn, Hamish"
"MacDowell", "MacDowell, Edward"
"MacDowell", "MacDowell, Edward"
"Macfarren", "Macfarren, George Alexander"
"Machaut", "Machaut, Guillaume de"
"Mackenzie", "Mackenzie, Alexander"
"Maconchy", "Maconchy, Elizabeth"
"Madetoja", "Madetoja, Leevi"
"Maessens", "Maessens, Pieter"
"Magnard", "Magnard, Albéric"
"Maher", "Maher, Matt"
"Mahler", "Mahler, Gustav"
"Mahler", "Mahler, Gustav"
"Maler", "Maler, Willem de"
"Malipiero", "Malipiero, Gian Francesco"
"Malling", "Malling, Otto"
"Mancinelli", "Mancinelli, Luigi"
"Manfredini", "Manfredini, Francesco"
"Marais", "Marais, Marin"
"Marais", "Marais, Marin"
"Marcello", "Marcello, Alessandro"
"MarcelloA", "Marcello, Alessandro"
"MarcelloB", "Marcello, Benedetto"
"Marchand", "Marchand, Louis"
"Marchesi", "Marchesi, Luigi"
"Marchetti", "Marchetti, Filippo"
"Marenzio", "Marenzio, Luca"
"Marschner", "Marschner, Heinrich"
"Martin", "Martin, Frank"
"Martin", "Martin, Frank"
"Martini", "Martini, Giovanni Battista"
"Martinu", "Martinů, Bohuslav"
"Martinu", "Martinů, Bohuslav"
"Martucci", "Martucci, Giuseppe"
"Marx", "Marx, Joseph"
"Mascagni", "Mascagni, Pietro"
"Mascagni", "Mascagni, Pietro"
"Massenet", "Massenet, Jules"
"Massenet", "Massenet, Jules"
"Mathias", "Mathias, William"
"Matteis", "Matteis, Nicola"
"Mattheson", "Mattheson, Johann"
"Matton", "Matton, Roger"
"Mayer", "Mayer, Emilie"
"Mayerl", "Mayerl, Billy"
"Mayr", "Mayr, Simon"
"McClarney", "McClarney, Pat"
"Medley", "Medley, Samuel"
"Medtner", "Medtner, Nikolai"
"Medtner", "Medtner, Nikolai"
"Mehul", "Méhul, Étienne Nicolas"
"Melartin", "Melartin, Erkki"
"MelcerSzczawinski", "Melcer-Szczawiński, Henryk"
"Mendelssohn", "Mendelssohn, Felix"
"Mendelssohn", "Mendelssohn, Felix"
"MendelssohnFanny", "Mendelssohn, Fanny"
"MendelssohnFanny", "Mendelssohn, Fanny"
"Mercadante", "Mercadante, Saverio"
"MerikantoA", "Merikanto, Aarre"
"MerikantoO", "Merikanto, Oskar"
"Merula", "Merula, Tarquinio"
"Messager", "Messager, André"
"Messager", "Messager, André"
"Messiaen", "Messiaen, Olivier"
"Messiaen", "Messiaen, Olivier"
"Meyerbeer", "Meyerbeer, Giacomo"
"Meyerbeer", "Meyerbeer, Giacomo"
"Miaskovsky", "Myaskovsky, Nikolai"
"Michelet", "Michelet, Michel"
"Mignone", "Mignone, Francisco"
"Milhaud", "Milhaud, Darius"
"Milhaud", "Milhaud, Darius"
"Molique", "Molique, Bernhard"
"Molloy", "Molloy, James Lynam"
"Molter", "Molter, Johann Melchior"
"Momigny", "Momigny, Jérôme-Joseph de"
"Mompou", "Mompou, Federico"
"Moniuszko", "Moniuszko, Stanisław"
"Monn", "Monn, Matthias Georg"
"Monsell", "Monsell, John Samuel Bewley"
"Montague", "Montague, Stephen"
"Monteverdi", "Monteverdi, Claudio"
"Monteverdi", "Monteverdi, Claudio"
"Monti", "Monti, Vittorio"
"Morales", "Morales, Cristóbal de"
"Morgan", "Morgan, Reuben"
"Morley", "Morley, Thomas"
"Mortelmans", "Mortelmans, Lodewijk"
"MosaicMSC", "Mosaic MSC"
"Moscheles", "Moscheles, Ignaz"
"Mosonyi", "Mosonyi, Mihály"
"Moszkowski", "Moszkowski, Moritz"
"Moszkowski", "Moszkowski, Moritz"
"Mouret", "Mouret, Jean-Joseph"
"Mouton", "Mouton, Jean"
"Mozart", "Mozart, Wolfgang Amadeus"
"Mozart", "Mozart, Wolfgang Amadeus"
"MozartFX", "Mozart, Franz Xaver Wolfgang"
"MozartLeopold", "Mozart, Leopold"
"MozartLeopold", "Mozart, Leopold"
"MuffatG", "Muffat, Georg"
"MuffatT", "Muffat, Gottlieb"
"Muldowney", "Muldowney, Dominic"
"Mundy", "Mundy, William"
"Murrill", "Murrill, Herbert"
"Mussorgsky", "Mussorgsky, Modest"
"Mussorgsky", "Mussorgsky, Modest"
"Myslivecek", "Mysliveček, Josef"
"Nancarrow", "Nancarrow, Conlon"
"Nanino", "Nanino, Giovanni Maria"
"Nardini", "Nardini, Pietro"
"Naumann", "Naumann, Johann Gottlieb"
"Navratil", "Navrátil, Karel"
"Neale", "Neale, John Mason"
"Nebra", "Nebra, José de"
"Neefe", "Neefe, Christian Gottlob"
"Neukomm", "Neukomm, Sigismund von"
"Neusidler", "Neusidler, Hans"
"Nevin", "Nevin, Ethelbert"
"Newman", "Newman, John Henry"
"Newton", "Newton, John"
"Nicolai", "Nicolai, Otto"
"Nielsen", "Nielsen, Carl"
"Nielsen", "Nielsen, Carl"
"NielsenL", "Nielsen, Ludolf"
"Nietzsche", "Nietzsche, Friedrich"
"Nin", "Nin, Joaquín"
"Nono", "Nono, Luigi"
"Norman", "Norman, Ludvig"
"Noskowski", "Noskowski, Zygmunt"
"Novacek", "Nováček, Ottokar"
"Novak", "Novák, Vítězslav"
"Nyman", "Nyman, Michael"
"Obrecht", "Obrecht, Jacob"
"Ockeghem", "Ockeghem, Johannes"
